MnuNo,MenuOpt,MnuName,MnuCap,ExeName,pgmopt,AllowWhenTrnClosed,MultiInstance,SmritiWorkspace,SmritiMenuId,SmritiModule,SmritiAction,DocumentType,MigrationStatus,Notes
250,252,Credit Card Management,Realisation,SR100400.EXE,1,0,0,Business Ledger,menu-business-ledger,FINANCE,NEW_TRANSACTION,CC_REALISATION,MAPPED,Business Ledger: Credit Card Realisation.
260,261,Franchisee A/C,Payments to HO,SR101900.EXE,0,0,0,Business Ledger,menu-business-ledger,FINANCE,NEW_TRANSACTION,FRANCHISEE_PAYMENT,PENDING,Franchisee HO payments -- assess if SMRITI multi-company covers this.
260,262,Franchisee A/C,Franchisee Details Form,SR430600.Exe,0,0,0,Company Setup,menu-company-setup,ADMIN,VIEW,,MERGED,Franchisee Details Form -> Company Setup in SMRITI.
260,263,Franchisee A/C,Franchisee Outstanding,SR203400.EXE,0,0,0,Business Ledger,menu-business-ledger,FINANCE,VIEW,FRANCHISEE_OUTSTANDING,PENDING,Franchisee outstanding report -- assess vs Business Ledger reports.
260,265,Franchisee A/C,Pay-in Slip Generation,SR410800.EXE,0,0,0,Business Ledger,menu-business-ledger,FINANCE,NEW_TRANSACTION,PAYIN_SLIP,PENDING,Pay-in Slip -- bank deposit document. Not yet in SMRITI ledger.
270,271,Till Management,Till Status,SR138900.EXE,1,0,0,Business Ledger,menu-business-ledger,FINANCE,VIEW,TILL_STATUS,MAPPED,Till Status report in Business Ledger.
270,272,Till Management,Set Opening Balance,SR138900.EXE,2,0,0,Business Ledger,menu-business-ledger,FINANCE,SET_OPENING_BAL,TILL,MAPPED,Till: Set Opening Balance action.
270,273,Till Management,Cash Lift,SR138900.EXE,3,0,0,Business Ledger,menu-business-ledger,FINANCE,NEW_TRANSACTION,CASH_LIFT,MAPPED,Till: Cash Lift action.
270,274,Till Management,Reconciliation,SR138900.EXE,4,0,0,Business Ledger,menu-business-ledger,FINANCE,RECONCILE,TILL,MAPPED,Till: End-of-day reconciliation.
270,275,Till Management,Open Cash Drawer,SR138900.EXE,5,0,0,Business Ledger,menu-business-ledger,FINANCE,OPEN_CASH_DRAWER,,MAPPED,Till: Open Cash Drawer hardware command.
270,276,Till Management,Till - Reprint,SR138900.EXE,6,0,0,Business Ledger,menu-business-ledger,FINANCE,REPRINT,TILL_REPORT,MAPPED,Till: Reprint last till report.
280,281,Credit Sale Management,Collect Payment,SR142500.EXE,0,0,0,Business Ledger,menu-business-ledger,FINANCE,COLLECT_PAYMENT,CREDIT_SALE,MAPPED,Credit Sale: Collect payment from credit customer.
280,282,Credit Sale Management,Set Opening Balance,SR142500.EXE,1,0,0,Business Ledger,menu-business-ledger,FINANCE,SET_OPENING_BAL,CREDIT_SALE,MAPPED,Credit Sale: Set opening balance for credit account.
280,283,Credit Sale Management,Clear Credit Note,SR142500.EXE,2,0,0,Business Ledger,menu-business-ledger,FINANCE,CLEAR,CREDIT_NOTE,MAPPED,Credit Sale: Clear/apply credit note.
300,311,Stock,Import DC / Master from PT File,SR324400.exe,1,0,0,Data Exchange,menu-data-exchange,CONFIG,IMPORT,PT_FILE_DC,REPLACED,PT File DC import -> SMRITI Data Exchange module. Legacy S9Q mechanism retired.
300,312,Stock,Physical Verification,SR101000.exe,0,0,0,Stock Ledger,menu-stock-ledger,INVENTORY,NEW_TRANSACTION,PHYSICAL_VERIFY,MAPPED,Stock Ledger: Physical Verification (TrnType=9700).
300,313,Stock,Goods Inwards,SR127000.EXE,0,0,0,Purchase Workspace,menu-purchase,PURCHASE,NEW_TRANSACTION,GOODS_INWARDS,MAPPED,Purchase Workspace: Goods Inwards / GRN.
300,314,Stock,Goods Inwards Size-wise,SR129500.EXE,0,0,0,Purchase Workspace,menu-purchase,PURCHASE,NEW_TRANSACTION,GOODS_INWARDS_SIZE,MERGED,Size-wise GRN -- merged into Purchase Workspace with size matrix capability.
300,315,Stock,Goods Outwards,SR144100.Exe,0,0,0,Stock Ledger,menu-stock-ledger,INVENTORY,NEW_TRANSACTION,GOODS_OUTWARDS,MAPPED,Stock Ledger: Goods Outwards / DC (TrnType=9200).
300,316,Stock,PT File Information,SR210700.EXE,0,1,0,Data Exchange,menu-data-exchange,CONFIG,VIEW,PT_FILE_INFO,REPLACED,PT File Information -> Data Exchange history view.
300,350,Stock,Stock Take,,0,0,0,Stock Ledger,menu-stock-ledger,INVENTORY,NAVIGATE,STOCK_TAKE,MAPPED,Stock Take group -> Stock Ledger workspace.
300,360,Stock,Carton Management,,0,0,0,Purchase Workspace,menu-purchase,PURCHASE,NAVIGATE,CARTON_MGMT,MAPPED,Carton Management group -> Purchase Workspace.
300,370,Stock,Barcode,,0,0,0,Barcode Studio,menu-barcode,INVENTORY,NAVIGATE,BARCODE,MAPPED,Barcode group -> Barcode Studio.
300,380,Stock,Purchase Order,,0,0,0,Purchase Workspace,menu-purchase,PURCHASE,NAVIGATE,PURCHASE_ORDER,MAPPED,Purchase Order group -> Purchase Workspace.
350,351,Stock Take,Physical Stock Management,SR323400.EXE,0,0,0,Stock Ledger,menu-stock-ledger,INVENTORY,NEW_TRANSACTION,PHYSICAL_STOCK,MAPPED,Stock Ledger: Physical Stock Management.
350,352,Stock Take,Physical vs Computed Stock Report,SR211000.EXE,0,1,0,Stock Ledger,menu-stock-ledger,INVENTORY,VIEW,PHY_VS_COMPUTED,MAPPED,Stock Ledger: Physical vs Computed Stock report.
350,353,Stock Take,Physical Stock Report,SR213300.EXE,0,1,0,Stock Ledger,menu-stock-ledger,INVENTORY,VIEW,PHYSICAL_STOCK_RPT,MAPPED,Stock Ledger: Physical Stock Report.
350,354,Stock Take,Physical Stock Report - Batch-wise,SR203500.exe,0,1,0,Stock Ledger,menu-stock-ledger,INVENTORY,VIEW,PHYS_STK_BATCH,MAPPED,Stock Ledger: Physical Stock Batch-wise report.
360,361,Stock,Carton Type Creation,SR441100.EXE,0,0,0,Item Master,menu-item-master,INVENTORY,NEW_RECORD,CARTON_TYPE,MAPPED,Item Master: Carton Type master record.
360,362,Stock,Carton,SR440700.EXE,0,0,0,Purchase Workspace,menu-purchase,PURCHASE,NEW_TRANSACTION,CARTON,MAPPED,Purchase Workspace: Carton transaction.
360,363,Stock,Packing,SR440900.EXE,0,0,0,Purchase Workspace,menu-purchase,PURCHASE,NEW_TRANSACTION,PACKING,MAPPED,Purchase Workspace: Packing slip.
370,371,Barcode,Design Label for Barcode Printers,SR413000.EXE,1,1,0,Barcode Studio,menu-barcode,INVENTORY,DESIGN,BARCODE_LABEL,MAPPED,Barcode Studio: Design label for barcode printers.
370,372,Barcode,Design Label for Standard Printers,SR431200.EXE,1,0,0,Barcode Studio,menu-barcode,INVENTORY,DESIGN,STD_LABEL,MAPPED,Barcode Studio: Design label for standard printers.
370,373,Barcode,Design Layout for Standard Printers,SR431200.EXE,2,0,0,Barcode Studio,menu-barcode,INVENTORY,DESIGN,STD_LAYOUT,MAPPED,Barcode Studio: Design layout for standard printers.
370,374,Barcode,Print Labels,SR413100.EXE,1,1,0,Barcode Studio,menu-barcode,INVENTORY,PRINT,BARCODE_LABELS,MAPPED,Barcode Studio: Print labels.
380,381,Purchase Order,Generation,SE100900.EXE,1,0,0,Purchase Workspace,menu-purchase,PURCHASE,NEW_TRANSACTION,PURCHASE_ORDER,MAPPED,Purchase Workspace: PO generation.
380,383,Purchase Order,Import,SE100400.EXE,0,0,0,Purchase Workspace,menu-purchase,PURCHASE,FORECLOSE,PURCHASE_ORDER,MAPPED,Purchase Workspace: Foreclose PO.
380,384,Purchase Order,Foreclosure,SE127800.exe,2,0,0,Purchase Workspace,menu-purchase,PURCHASE,REOPEN,PURCHASE_ORDER,MAPPED,Purchase Workspace: Reopen PO.
380,385,Purchase Order,Reopen,SE127800.exe,3,0,0,Purchase Workspace,menu-purchase,PURCHASE,EXPORT,PURCHASE_ORDER,MAPPED,Purchase Workspace: Export PO.
380,386,Purchase Order,Export,SE127800.exe,4,0,0,Purchase Workspace,menu-purchase,PURCHASE,REPRINT,PURCHASE_ORDER,MAPPED,Purchase Workspace: Reprint PO.
380,387,Purchase Order,Reprint,SE127800.exe,5,0,0,Purchase Workspace,menu-purchase,PURCHASE,VIEW,PO_STATUS,MAPPED,Purchase Workspace: PO status report.
380,388,Purchase Order,Status Report,SE201200.EXE,1,0,0,Purchase Workspace,menu-purchase,PURCHASE,CONVERT,PO_INDENT,MAPPED,Purchase Workspace: PO/Indent conversion.
380,389,Purchase Order,PO/Indent Conversion,SE101000.EXE,1,0,0,Purchase Workspace,menu-purchase,PURCHASE,CONFIGURE,PURCHASE_ORDER,MERGED,PO Configuration -> Purchase Workspace settings panel.
380,390,Purchase Order,Purchase Order Configuration,SE100280.exe,0,0,0,Purchase Workspace,menu-purchase,PURCHASE,CONFIGURE,PO_CONFIG,MERGED,Purchase Order Configuration (SE100280.exe) -> Purchase Workspace settings.
400,410,Reports,Sales,,0,0,0,Reports Portal,menu-reports,REPORTS,NAVIGATE,SALES_REPORTS,MAPPED,Reports: Sales sub-group.
400,430,Reports,Stock,,0,0,0,Reports Portal,menu-reports,REPORTS,NAVIGATE,STOCK_REGISTERS,MAPPED,Reports: Stock Registers sub-group.
400,450,Reports,Stock Registers,,0,0,0,Reports Portal,menu-reports,REPORTS,NAVIGATE,MIS_REPORTS,MAPPED,Reports: MIS sub-group.
400,460,Reports,Cash,,0,0,0,Reports Portal,menu-reports,REPORTS,NAVIGATE,ANALYSIS_REPORTS,MAPPED,Reports: Analysis Reports sub-group.
400,470,Reports,MIS,,0,0,0,Reports Portal,menu-reports,REPORTS,NAVIGATE,MIS,MAPPED,Reports: MIS navigation group.
400,900,Reports,Analysis Reports,,0,0,0,Report Designer,menu-report-designer,REPORTS,NAVIGATE,ANALYSIS_REPORTS,MAPPED,Reports: Analysis Reports navigation -> Report Designer.
410,411,Sales,Daily Sales Book,SR213600.EXE,0,1,0,Reports Portal,menu-reports,REPORTS,VIEW,DAILY_SALES_BOOK,MAPPED,Reports: Daily Sales Book.
410,412,Sales,Bill-wise Sales,SR202400.EXE,0,1,0,Reports Portal,menu-reports,REPORTS,VIEW,BILLWISE_SALES,MAPPED,Reports: Bill-wise Sales.
410,413,Sales,Item-wise Sales,SR202200.EXE,0,1,0,Reports Portal,menu-reports,REPORTS,VIEW,ITEMWISE_SALES,MAPPED,Reports: Item-wise Sales.
410,414,Sales,Tax Register,SR202300.EXE,0,1,0,Reports Portal,menu-reports,REPORTS,VIEW,TAX_REGISTER_SALES,MAPPED,Reports: Tax Register (Sales).
410,415,Sales,Bill-wise Items,SR202000.EXE,0,1,0,Reports Portal,menu-reports,REPORTS,VIEW,BILLWISE_ITEMS,MAPPED,Reports: Bill-wise Items.
410,416,Sales,Discount Given,SR202100.EXE,0,1,0,Reports Portal,menu-reports,REPORTS,VIEW,DISCOUNT_GIVEN,MAPPED,Reports: Discount Given.
410,418,Sales,Top Selling Items,SR209600.EXE,0,1,0,Reports Portal,menu-reports,REPORTS,VIEW,SALESPERSON_SALES,MAPPED,Reports: Salesperson Sales.
410,419,Sales,Salesperson Sales,SR210000.EXE,0,1,0,Reports Portal,menu-reports,REPORTS,VIEW,CANCELLED_BILLS,MAPPED,Reports: Cancelled Bills.
410,420,Sales,Cancelled Bills,SR210100.EXE,0,1,0,Reports Portal,menu-reports,REPORTS,VIEW,RETURNED_BILLS,MAPPED,Reports: Returned Bills.
410,421,Sales,Returned Bills,SR210200.EXE,0,1,0,Reports Portal,menu-reports,REPORTS,VIEW,ATTR_SIZE_SALES,MAPPED,Reports: Attribute+Size-wise Sales.
410,422,Sales,Attribute + Size wise,SR236300.Exe,2,1,0,Reports Portal,menu-reports,REPORTS,VIEW,DAYWISE_SUMMARY,MAPPED,Reports: Day-wise Sales Summary.
410,423,Sales,Day-wise Sales Summary,SR209500.EXE,0,1,0,Reports Portal,menu-reports,REPORTS,VIEW,ITEMWISE_RETURNS,MAPPED,Reports: Item-wise Sales Returns.
410,425,Sales,Item-wise Sales Returns,SR214100.EXE,0,1,0,Reports Portal,menu-reports,REPORTS,VIEW,NODEWISE_DETAILS,MAPPED,Reports: Node-wise Details.
410,426,Sales,Salesperson Summary,SR221600.EXE,0,1,0,Reports Portal,menu-reports,REPORTS,VIEW,SALESPERSON_SUMM,MAPPED,Reports: Salesperson Summary (SR221600).
410,427,Sales,Node-wise Details,SR231900.EXE,1,0,0,Reports Portal,menu-reports,REPORTS,VIEW,NODEWISE_DETAILS,MAPPED,Reports: Node-wise Details (SR231900).
430,431,Stock,Balance,SR202500.EXE,0,1,0,Stock Ledger,menu-stock-ledger,INVENTORY,VIEW,BAL_MOVEMENT,MAPPED,Stock Ledger: Balance Movement Analysis.
430,432,Stock,Movement,SR203000.EXE,0,1,0,Stock Ledger,menu-stock-ledger,INVENTORY,VIEW,BAL_STYLE_MODEL,MAPPED,Stock Ledger: Balance Style/Model.
430,433,Stock,Analysis,SR202700.EXE,0,1,0,Stock Ledger,menu-stock-ledger,INVENTORY,VIEW,DISCREPANCY,MAPPED,Stock Ledger: Discrepancy.
430,434,Stock,Statement,SR202900.EXE,0,1,0,Stock Ledger,menu-stock-ledger,INVENTORY,VIEW,TXN_LEDGER,MAPPED,Stock Ledger: Transaction Ledger.
430,435,Stock,Balance - Style / Model wise,SR210300.EXE,0,1,0,Stock Ledger,menu-stock-ledger,INVENTORY,VIEW,ATTR_SIZE_BAL,MAPPED,Stock Ledger: Attribute+Size Balance.
430,436,Stock,Discrepancy,SR211600.EXE,0,1,0,Stock Ledger,menu-stock-ledger,INVENTORY,VIEW,BAL_AS_ON_DATE,MAPPED,Stock Ledger: Balance as on Date.
430,437,Stock,Transaction Ledger,SR213800.EXE,0,1,0,Stock Ledger,menu-stock-ledger,INVENTORY,VIEW,AGING,MAPPED,Stock Ledger: Aging.
430,438,Stock,Attribute + Size wise,SR236300.Exe,3,1,0,Stock Ledger,menu-stock-ledger,INVENTORY,VIEW,INWARD_DISCREPANCY,MAPPED,Stock Ledger: Inward Discrepancy.
430,439,Stock,Balance as on Date,SR217900.EXE,0,1,0,Stock Ledger,menu-stock-ledger,INVENTORY,VIEW,PURCHASE_TAX_REG,MAPPED,Stock Ledger: Tax Register (Purchase).
430,441,Stock,Aging,SR233600.EXE,0,1,0,Stock Ledger,menu-stock-ledger,INVENTORY,VIEW,VOID_TRANSACTIONS,MAPPED,Stock Ledger: Void Transactions report.
430,442,Stock,Inward Discrepancy,SR233700.EXE,0,1,0,Stock Ledger,menu-stock-ledger,INVENTORY,VIEW,INWARD_DISCREPANCY,MAPPED,Stock Ledger: Inward Discrepancy (alt).
430,443,Stock,Tax Register,SR238000.Exe,1,0,0,Stock Ledger,menu-stock-ledger,INVENTORY,VIEW,TAX_REGISTER,MAPPED,Stock Ledger: Tax Register.
430,444,Stock,Void Transactions,SR239800.Exe,0,0,0,Stock Ledger,menu-stock-ledger,INVENTORY,NEW_TRANSACTION,VOID_TXN,MAPPED,Stock Ledger: Void Transactions action (SR239800.Exe).
430,445,Stock,Stock Availability,SR241700.EXE,0,1,0,Stock Ledger,menu-stock-ledger,INVENTORY,VIEW,STOCK_AVAIL,MAPPED,Stock Ledger: Stock Availability.
430,446,Stock,Physical Verification Status,SR241600.EXE,0,1,0,Stock Ledger,menu-stock-ledger,INVENTORY,VIEW,PHYSICAL_VER_STATUS,MAPPED,Stock Ledger: Physical Verification Status.
450,451,Stock Registers,Transaction-wise Goods Register,SR202800.EXE,0,1,0,Stock Ledger,menu-stock-ledger,INVENTORY,VIEW,TXN_GOODS_REG,MAPPED,Stock Registers: Transaction-wise Goods Register.
450,452,Stock Registers,Item-wise Goods Register,SR212600.EXE,0,1,0,Stock Ledger,menu-stock-ledger,INVENTORY,VIEW,ITEMWISE_GOODS_REG,MAPPED,Stock Registers: Item-wise Goods Register.
450,453,Stock Registers,Audit Trail - Size-wise,SR217700.EXE,0,1,0,Stock Ledger,menu-stock-ledger,INVENTORY,VIEW,AUDIT_TRAIL_SIZE,MAPPED,Stock Registers: Audit Trail Size-wise.
460,461,Cash,Cash Transaction,SR203100.EXE,0,1,0,Business Ledger,menu-business-ledger,FINANCE,VIEW,CASH_TXN_RPT,MAPPED,Cash Reports: Cash Transaction report.
460,462,Cash,Submission / Realisation List,SR203300.EXE,0,1,0,Business Ledger,menu-business-ledger,FINANCE,VIEW,CC_SUBMISSION_LIST,MAPPED,Cash Reports: Credit Card Submission/Realisation List.
460,463,Cash,Pending Submissions / Realisations,SR203200.EXE,0,1,0,Business Ledger,menu-business-ledger,FINANCE,VIEW,PENDING_CC,MAPPED,Cash Reports: Pending Submissions/Realisations.
460,464,Cash,Counter-wise Details,SR210600.EXE,0,1,0,Business Ledger,menu-business-ledger,FINANCE,VIEW,COUNTERWISE_DETAILS,MAPPED,Cash Reports: Counter-wise Details.
460,465,Cash,Credit Note Status,SR212700.EXE,0,1,0,Business Ledger,menu-business-ledger,FINANCE,VIEW,CREDIT_NOTE_STATUS,MAPPED,Cash Reports: Credit Note Status.
460,466,Cash,Counter Summary across Cashiers,SR212900.EXE,0,1,0,Business Ledger,menu-business-ledger,FINANCE,VIEW,COUNTER_SUMMARY,MAPPED,Cash Reports: Counter Summary across Cashiers.
460,467,Cash,Advance Receipt Status,SR234400.EXE,0,1,0,Business Ledger,menu-business-ledger,FINANCE,VIEW,ADVANCE_RECEIPT,MAPPED,Cash Reports: Advance Receipt Status.
460,469,Cash,Reconciliation Report,SR239600.EXE,1,1,0,Business Ledger,menu-business-ledger,FINANCE,VIEW,RECONCILIATION_RPT,MAPPED,Cash Reports: Reconciliation Report.
460,470,Cash,Till Status Report,SR239600.EXE,2,1,0,Business Ledger,menu-business-ledger,FINANCE,VIEW,TILL_STATUS_RPT,MAPPED,Cash Reports: Till Status Report.
460,471,Till Management,Till Activity Log,SR240400.EXE,0,0,0,Business Ledger,menu-business-ledger,FINANCE,VIEW,TILL_ACTIVITY_LOG,MAPPED,Till Management: Till Activity Log.
460,4702,Credit Sale Management,Credit Sale,SR242900.EXE,0,1,0,Business Ledger,menu-business-ledger,FINANCE,VIEW,CREDIT_SALE_RPT,MAPPED,Credit Sale Management: Credit Sale report.
470,471,MIS,Monthly Sales Comparison,SR203700.EXE,0,1,0,Reports Portal,menu-reports,REPORTS,VIEW,MONTHLY_SALES_CMP,MAPPED,MIS: Monthly Sales Comparison.
470,472,MIS,Rate Variation,SR203800.EXE,0,1,0,Reports Portal,menu-reports,REPORTS,VIEW,RATE_VARIATION,MAPPED,MIS: Rate Variation report.
470,473,MIS,Sales Analysis,SR203900.EXE,0,1,0,Reports Portal,menu-reports,REPORTS,VIEW,SALES_ANALYSIS,MAPPED,MIS: Sales Analysis.
470,474,MIS,Attribute-wise Sales and Stock,SR236300.Exe,1,1,0,Reports Portal,menu-reports,REPORTS,VIEW,ATTR_SALES_STOCK,MAPPED,MIS: Attribute-wise Sales and Stock.
470,475,MIS,Pending Transactions,SR215600.EXE,0,1,0,Reports Portal,menu-reports,REPORTS,VIEW,PENDING_TXN,MAPPED,MIS: Pending Transactions.
470,476,MIS,Walk-in Details,SR222800.EXE,0,1,0,Reports Portal,menu-reports,REPORTS,VIEW,WALKIN_DETAILS,MAPPED,MIS: Walk-in Details.
470,477,MIS,Superclass-wise Sales / Stock,SR216000.EXE,0,1,0,Reports Portal,menu-reports,REPORTS,VIEW,SUPERCLASS_SALES,MAPPED,MIS: Superclass-wise Sales/Stock.
470,478,MIS,Stock across Chain,SE201000.EXE,0,0,0,Reports Portal,menu-reports,REPORTS,VIEW,STOCK_ACROSS_CHAIN,PENDING,MIS: Stock across Chain -- needs multi-company assessment.
470,479,MIS,Transaction Details with Image,SR233000.EXE,1,0,0,Reports Portal,menu-reports,REPORTS,VIEW,TXN_DETAILS_IMG,MERGED,MIS: Transaction Details with Image -> SMRITI bill reprint.
470,480,MIS,Gross Margin,SR229700.exe,0,0,0,Reports Portal,menu-reports,REPORTS,VIEW,GROSS_MARGIN,MAPPED,MIS: Gross Margin report.
470,481,MIS,Bill Re-Print,SR233500.exe,0,0,0,Reports Portal,menu-reports,REPORTS,VIEW,BILL_REPRINT,MAPPED,MIS: Bill Re-Print.
470,482,MIS,Sales Promotions,SR234900.exe,0,0,0,Reports Portal,menu-reports,REPORTS,VIEW,SALES_PROMOTIONS_RPT,MAPPED,MIS: Sales Promotions report.
470,483,MIS,Salesperson-wise Discount,SR238400.EXE,1,0,0,Reports Portal,menu-reports,REPORTS,VIEW,SALESPERSON_DISC,MAPPED,MIS: Salesperson-wise Discount.
470,490,MIS,Customer Offtake,,0,0,0,Reports Portal,menu-reports,REPORTS,NAVIGATE,CUSTOMER_OFFTAKE,MAPPED,MIS: Customer Offtake sub-group.
470,491,MIS,Excise Report,SR240000.EXE,0,0,0,Reports Portal,menu-reports,REPORTS,VIEW,EXCISE_REPORT,DEPRECATED,MIS: Excise Report -- pre-GST. SMRITI uses GST-native reporting.
470,492,MIS,Incentive Analysis,SR244700.EXE,1,1,0,Reports Portal,menu-reports,REPORTS,VIEW,INCENTIVE_ANALYSIS,MAPPED,MIS: Incentive Analysis report.
490,491,Customer Offtake,Period-wise,SR208500.EXE,0,1,0,Reports Portal,menu-reports,REPORTS,VIEW,OFFTAKE_PERIOD,MAPPED,Customer Offtake: Period-wise.
490,492,Customer Offtake,Bill-wise,SR208400.EXE,0,1,0,Reports Portal,menu-reports,REPORTS,VIEW,OFFTAKE_BILLWISE,MAPPED,Customer Offtake: Bill-wise.
490,493,Customer Offtake,Product-wise,SR208600.EXE,0,1,0,Reports Portal,menu-reports,REPORTS,VIEW,OFFTAKE_PRODUCTWISE,MAPPED,Customer Offtake: Product-wise.
500,501,Housekeeping,OPEN Day,SR322600.Exe,0,1,0,Governance Masters,menu-masters,CONFIG,DAY_OPEN,,MAPPED,Governance: Open Day operation.
500,502,Housekeeping,CLOSE Day,SR309900.EXE,2,0,0,Governance Masters,menu-masters,CONFIG,DAY_CLOSE,,MAPPED,Governance: Close Day operation.
500,503,Housekeeping,Backup,SR309000.EXE,2,1,0,Governance Masters,menu-masters,CONFIG,BACKUP,DATABASE,MAPPED,Governance: Database Backup.
500,504,Housekeeping,Restore,SR309000.EXE,3,1,0,Governance Masters,menu-masters,CONFIG,RESTORE,DATABASE,MAPPED,Governance: Database Restore.
500,505,Housekeeping,Compact,SR309000.EXE,1,1,0,Governance Masters,menu-masters,CONFIG,COMPACT,DATABASE,MAPPED,Governance: Compact Database.
500,506,Housekeeping,Database Tuning Utility,SE900310.EXE,1,0,0,Governance Masters,menu-masters,CONFIG,TUNE,DATABASE,MAPPED,Governance: Database Tuning.
500,507,Housekeeping,Purge Data,SR311900.EXE,0,0,0,Governance Masters,menu-masters,CONFIG,PURGE,DATA,MAPPED,Governance: Purge Data (restricted action).
500,509,Housekeeping,Delete Temporary Tables,SR721000.EXE,0,1,0,Governance Masters,menu-masters,CONFIG,DELETE,BACKUP_FILE,DEPRECATED,"Delete Backup File -- OS-level operation, not in SMRITI scope."
